,FPI_Ratio_0,FPI_Ratio_1,FPI_Ratio_2,FPI_Ratio_3,FPI_Ratio_4,FPI_Ratio_5,FPI_Ratio_6,FPI_Ratio_7,FPI_Ratio_8,FPI_Ratio_9
prm_pc_cse,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
GL_lat,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
RA_lat,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
tmp_dc_cyr,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
tmp_dc_uyr,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
snw_pc_uyr,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
snw_pc_cyr,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
snw_pc_cmx,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
Mean_Temp_Deg_C,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
cmi_ix_uyr,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
swc_pc_uyr,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
aet_mm_uyr,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
aet_mm_cyr,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
cmi_ix_cyr,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
swc_pc_cyr,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
aet_mm_cdi,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
pre_mm_uyr,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
pre_mm_cyr,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
run_mm_cyr,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
RA_lon,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
GL_lon,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
tmp_dc_cdi,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Broadleaf deciduous tree,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Broadleaf deciduous tree. Crop,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Broadleaf deciduous tree. Grass,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Broadleaf deciduous tree. Shrub,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Broadleaf evergreen tree,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Broadleaf evergreen tree. Broadleaf deciduous tree,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Grass,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Needleleaf deciduous tree. Broadleaf deciduous tree,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Needleleaf deciduous tree. Grass,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Needleleaf evergreen tree,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Needleleaf evergreen tree. Broadleaf deciduous tree,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Needleleaf evergreen tree. Broadleaf evergreen tree,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Needleleaf evergreen tree. Grass,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Needleleaf evergreen tree. Shrub,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Shrub,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
General_Vegetation_-1hot-_Shrub. Grass,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
slp_dg_cav,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
gwt_cm_cav,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
ele_mt_cav,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
River_Gradient_-1hot-_Relatively flat/gentle gradient (e.g. valleys),4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
River_Gradient_-1hot-_Relatively steep gradient (e.g. mountainous or hilly terrain),4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
slt_pc_uav,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
slt_pc_cav,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
snd_pc_cav,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
